📊 TABELA,📝 KOLUMNA,🔧 TYP,⚠️ NULL?,🔄 DEFAULT
workers,team_hourly_rate,numeric,NULL,null
workers,is_on_demand_available,boolean,NULL,false
workers,is_available_now,boolean,NULL,false
workers,address,text,NULL,null
workers,postal_code,character varying,NULL,null
workers,latitude,numeric,NULL,null
workers,longitude,numeric,NULL,null
workers,user_id,uuid,NULL,null
workers,available,boolean,NULL,true
workers,total_earnings,numeric,NULL,0
workers,completed_jobs,integer,NULL,0
workers,response_rate,integer,NULL,100
workers,availability,jsonb,NULL,"'{""friday"": true, ""monday"": true, ""sunday"": false, ""tuesday"": true, ""saturday"": false, ""thursday"": true, ""wednesday"": true}'::jsonb"
workers,preferred_days_per_week,integer,NULL,5
workers,unavailable_dates,jsonb,NULL,'[]'::jsonb
workers,portfolio_images,jsonb,NULL,'[]'::jsonb
workers,is_available,boolean,NULL,true
workers,rate_negotiable,boolean,NULL,false
workers,service_radius_km,integer,NULL,50
workers,cover_image_url,text,NULL,null
workers,approved_categories,ARRAY,NULL,'{}'::text[]
workers,certificate_status,text,NULL,'inactive'::text
workers,certificate_issued_at,timestamp with time zone,NULL,null
zzp_exam_applications,id,uuid,NOT NULL,gen_random_uuid()
zzp_exam_applications,worker_id,uuid,NOT NULL,null
zzp_exam_applications,full_name,text,NOT NULL,null
zzp_exam_applications,email,text,NOT NULL,null
zzp_exam_applications,phone,text,NULL,null
zzp_exam_applications,specializations,ARRAY,NOT NULL,'{}'::text[]
zzp_exam_applications,status,text,NOT NULL,'pending'::text
zzp_exam_applications,documents,jsonb,NULL,'[]'::jsonb
zzp_exam_applications,test_score,integer,NULL,null
zzp_exam_applications,test_date,timestamp with time zone,NULL,null
zzp_exam_applications,approved_by,uuid,NULL,null
zzp_exam_applications,approved_at,timestamp with time zone,NULL,null
zzp_exam_applications,certificate_number,text,NULL,null
zzp_exam_applications,rejection_reason,text,NULL,null
zzp_exam_applications,admin_notes,text,NULL,null
zzp_exam_applications,created_at,timestamp with time zone,NULL,now()
zzp_exam_applications,updated_at,timestamp with time zone,NULL,now()
